Visitor Arrivals by Nationality & Purpose of Visit to Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update,,Africa,,,,,North America,,,,,,,,,,,,,,,,,,,,,,,,,South America,,,,,,,,,,,,,,,Oceania,,,,,,,,,,,,,,,,,,,,Stateless,,,,,Grand Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-Apr-24,,Africa Total,,,,,North America Total,,,,,U.S.A.,,,,,Canada,,,,,Mexico,,,,,North America Unclassified,,,,,South America Total,,,,,Brazil,,,,,South America Unclassified,,,,,Oceania Total,,,,,Australia,,,,,New Zealand,,,,,Oceania Unclassified,,,,,Stateless,,,,,Grand Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar．,"2,578 ","1,094 ",666 ,818 ,0 ,"100,043 ","69,723 ","23,363 ","6,957 ",0 ,"80,929 ","54,393 ","20,780 ","5,756 ",0 ,"16,079 ","13,282 ","1,954 ",843 ,0 ,"2,461 ","1,739 ",484 ,238 ,0 ,574 ,309 ,145 ,120 ,0 ,"5,489 ","3,927 ",798 ,764 ,0 ,"3,045 ","2,219 ",422 ,404 ,0 ,"2,444 ","1,708 ",376 ,360 ,0 ,"24,242 ","19,142 ","3,621 ","1,479 ",0 ,"21,334 ","17,259 ","2,971 ","1,104 ",0 ,"2,661 ","1,779 ",580 ,302 ,0 ,247 ,104 ,70 ,73 ,0 ,69 ,31 ,2,36 ,0 ,"1,050,559 ","802,434 ","139,879 ","108,246 ",0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr．,"2,697 ","1,463 ",549 ,685 ,0 ,"107,388 ","81,670 ","20,644 ","5,074 ",0 ,"85,298 ","62,661 ","18,397 ","4,240 ",0 ,"17,782 ","15,355 ","1,813 ",614 ,0 ,"3,582 ","3,206 ",272 ,104 ,0 ,726 ,448 ,162 ,116 ,0 ,"6,959 ","5,800 ",606 ,553 ,0 ,"4,131 ","3,485 ",358 ,288 ,0 ,"2,828 ","2,315 ",248 ,265 ,0 ,"34,696 ","30,550 ","2,882 ","1,264 ",0 ,"30,174 ","26,893 ","2,367 ",914 ,0 ,"4,329 ","3,579 ",470 ,280 ,0 ,193 ,78 ,45 ,70 ,0 ,76 ,47 ,2,27 ,0 ,"1,231,471 ","1,020,474 ","128,180 ","82,817 ",0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May．,"2,436 ",897 ,703 ,836 ,0 ,"99,419 ","72,683 ","21,016 ","5,720 ",0 ,"80,373 ","56,888 ","18,770 ","4,715 ",0 ,"15,951 ","13,411 ","1,777 ",763 ,0 ,"2,532 ","2,087 ",331 ,114 ,0 ,563 ,297 ,138 ,128 ,0 ,"5,175 ","3,730 ",888 ,557 ,0 ,"2,922 ","2,131 ",522 ,269 ,0 ,"2,253 ","1,599 ",366 ,288 ,0 ,"21,993 ","17,286 ","3,495 ","1,212 ",0 ,"18,547 ","14,850 ","2,819 ",878 ,0 ,"3,180 ","2,296 ",638 ,246 ,0 ,266 ,140 ,38 ,88 ,0 ,59 ,33 ,3,23 ,0 ,"1,097,211 ","892,577 ","129,963 ","74,671 ",0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun．,"2,175 ",785 ,674 ,716 ,0 ,"103,636 ","78,195 ","20,985 ","4,456 ",0 ,"87,870 ","65,395 ","18,720 ","3,755 ",0 ,"12,722 ","10,426 ","1,801 ",495 ,0 ,"2,512 ","2,067 ",333 ,112 ,0 ,532 ,307 ,131 ,94 ,0 ,"3,913 ","2,763 ",651 ,499 ,0 ,"2,206 ","1,672 ",318 ,216 ,0 ,"1,707 ","1,091 ",333 ,283 ,0 ,"24,675 ","20,424 ","3,264 ",987 ,0 ,"21,081 ","17,739 ","2,685 ",657 ,0 ,"3,230 ","2,493 ",528 ,209 ,0 ,364 ,192 ,51 ,121 ,0 ,50 ,28 ,1,21 ,0 ,"1,055,273 ","866,883 ","128,535 ","59,855 ",0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul．,"2,092 ",969 ,442 ,681 ,0 ,"102,832 ","78,324 ","18,859 ","5,649 ",0 ,"82,937 ","61,296 ","16,830 ","4,811 ",0 ,"15,763 ","13,549 ","1,574 ",640 ,0 ,"3,537 ","3,115 ",328 ,94 ,0 ,595 ,364 ,127 ,104 ,0 ,"4,517 ","3,447 ",558 ,512 ,0 ,"2,595 ","2,017 ",320 ,258 ,0 ,"1,922 ","1,430 ",238 ,254 ,0 ,"24,165 ","19,854 ","3,019 ","1,292 ",0 ,"20,086 ","16,681 ","2,491 ",914 ,0 ,"3,778 ","3,019 ",483 ,276 ,0 ,301 ,154 ,45 ,102 ,0 ,58 ,33 ,5,20 ,0 ,"1,270,048 ","1,080,552 ","123,751 ","65,745 ",0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug．,"2,295 ",857 ,434 ,"1,004 ",0 ,"80,848 ","55,107 ","14,989 ","10,752 ",0 ,"63,883 ","41,585 ","13,489 ","8,809 ",0 ,"14,214 ","11,539 ","1,126 ","1,549 ",0 ,"2,091 ","1,670 ",261 ,160 ,0 ,660 ,313 ,113 ,234 ,0 ,"3,939 ","2,683 ",590 ,666 ,0 ,"2,128 ","1,419 ",364 ,345 ,0 ,"1,811 ","1,264 ",226 ,321 ,0 ,"16,199 ","11,577 ","2,743 ","1,879 ",0 ,"13,089 ","9,575 ","2,225 ","1,289 ",0 ,"2,864 ","1,913 ",465 ,486 ,0 ,246 ,89 ,53 ,104 ,0 ,40 ,24 ,2,14 ,0 ,"1,109,569 ","903,919 ","100,213 ","105,437 ",0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep．,"2,740 ",873 ,610 ,"1,257 ",0 ,"87,602 ","58,080 ","22,771 ","6,751 ",0 ,"69,301 ","43,550 ","20,256 ","5,495 ",0 ,"14,531 ","11,702 ","1,920 ",909 ,0 ,"2,954 ","2,385 ",388 ,181 ,0 ,816 ,443 ,207 ,166 ,0 ,"5,455 ","3,820 ",831 ,804 ,0 ,"3,069 ","2,122 ",529 ,418 ,0 ,"2,386 ","1,698 ",302 ,386 ,0 ,"35,444 ","30,566 ","3,576 ","1,302 ",0 ,"30,631 ","26,771 ","2,909 ",951 ,0 ,"4,477 ","3,657 ",593 ,227 ,0 ,336 ,138 ,74 ,124 ,0 ,51 ,29 ,3,19 ,0 ,"1,099,102 ","846,241 ","135,563 ","117,298 ",0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oct．,"3,488 ","1,601 ",995 ,892 ,0 ,"104,152 ","74,787 ","24,290 ","5,075 ",0 ,"82,512 ","57,189 ","21,339 ","3,984 ",0 ,"17,675 ","14,627 ","2,295 ",753 ,0 ,"3,206 ","2,571 ",479 ,156 ,0 ,759 ,400 ,177 ,182 ,0 ,"6,517 ","4,840 ","1,106 ",571 ,0 ,"3,638 ","2,772 ",598 ,268 ,0 ,"2,879 ","2,068 ",508 ,303 ,0 ,"27,840 ","22,645 ","4,023 ","1,172 ",0 ,"23,994 ","19,949 ","3,258 ",787 ,0 ,"3,537 ","2,606 ",690 ,241 ,0 ,309 ,90 ,75 ,144 ,0 ,62 ,45 ,3,14 ,0 ,"1,271,705 ","1,029,922 ","158,451 ","83,332 ",0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nov．,"2,777 ",973 ,809 ,995 ,0 ,"92,743 ","63,268 ","24,478 ","4,997 ",0 ,"73,243 ","47,805 ","21,347 ","4,091 ",0 ,"16,184 ","13,049 ","2,478 ",657 ,0 ,"2,617 ","2,046 ",462 ,109 ,0 ,699 ,368 ,191 ,140 ,0 ,"4,251 ","2,662 ","1,086 ",503 ,0 ,"2,309 ","1,458 ",567 ,284 ,0 ,"1,942 ","1,204 ",519 ,219 ,0 ,"25,485 ","20,014 ","4,049 ","1,422 ",0 ,"22,155 ","17,778 ","3,362 ","1,015 ",0 ,"3,077 ","2,150 ",625 ,302 ,0 ,253 ,86 ,62 ,105 ,0 ,60 ,34 ,6,20 ,0 ,"1,168,427 ","943,831 ","158,866 ","65,730 ",0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dec．,"1,784 ",912 ,401 ,471 ,0 ,"93,950 ","73,130 ","16,327 ","4,493 ",0 ,"73,539 ","54,902 ","14,859 ","3,778 ",0 ,"17,692 ","15,924 ","1,194 ",574 ,0 ,"2,255 ","1,989 ",193 ,73 ,0 ,464 ,315 ,81 ,68 ,0 ,"4,587 ","3,886 ",366 ,335 ,0 ,"3,065 ","2,750 ",188 ,127 ,0 ,"1,522 ","1,136 ",178 ,208 ,0 ,"42,105 ","38,800 ","2,141 ","1,164 ",0 ,"37,609 ","34,904 ","1,795 ",910 ,0 ,"4,319 ","3,817 ",300 ,202 ,0 ,177 ,79 ,46 ,52 ,0 ,62 ,45 ,2,15 ,0 ,"1,236,073 ","1,074,350 ","106,479 ","55,244 ",0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015　Jan．,"1,801 ",454 ,440 ,907 ,0 ,"78,654 ","49,391 ","18,532 ","10,731 ",0 ,"62,081 ","36,741 ","16,522 ","8,818 ",0 ,"14,250 ","11,216 ","1,600 ","1,434 ",0 ,"1,694 ","1,195 ",290 ,209 ,0 ,629 ,239 ,120 ,270 ,0 ,"3,998 ","2,535 ",564 ,899 ,0 ,"2,303 ","1,496 ",350 ,457 ,0 ,"1,695 ","1,039 ",214 ,442 ,0 ,"52,692 ","48,196 ","2,495 ","2,001 ",0 ,"48,583 ","45,035 ","2,046 ","1,502 ",0 ,"3,932 ","3,108 ",390 ,434 ,0 ,177 ,53 ,59 ,65 ,0 ,53 ,29 ,2,22 ,0 ,"1,218,393 ","978,476 ","122,506 ","117,411 ",0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb．,"1,746 ",687 ,531 ,528 ,0 ,"77,636 ","54,208 ","19,492 ","3,936 ",0 ,"59,157 ","38,534 ","17,375 ","3,248 ",0 ,"16,304 ","14,125 ","1,653 ",526 ,0 ,"1,678 ","1,291 ",305 ,82 ,0 ,497 ,258 ,159 ,80 ,0 ,"3,257 ","2,370 ",533 ,354 ,0 ,"1,709 ","1,230 ",306 ,173 ,0 ,"1,548 ","1,140 ",227 ,181 ,0 ,"33,925 ","30,175 ","2,890 ",860 ,0 ,"30,303 ","27,198 ","2,444 ",661 ,0 ,"3,474 ","2,927 ",405 ,142 ,0 ,148 ,50 ,41 ,57 ,0 ,61 ,34 ,2,25 ,0 ,"1,386,982 ","1,207,242 ","114,641 ","65,099 ",0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar．,"3,273 ","1,176 ",667 ,"1,430 ",0 ,"121,592 ","89,782 ","24,015 ","7,795 ",0 ,"95,609 ","67,718 ","21,357 ","6,534 ",0 ,"21,638 ","18,802 ","1,996 ",840 ,0 ,"3,561 ","2,837 ",488 ,236 ,0 ,784 ,425 ,174 ,185 ,0 ,"6,102 ","4,562 ",794 ,746 ,0 ,"3,423 ","2,621 ",426 ,376 ,0 ,"2,679 ","1,941 ",368 ,370 ,0 ,"33,116 ","27,544 ","3,933 ","1,639 ",0 ,"29,178 ","24,732 ","3,235 ","1,211 ",0 ,"3,558 ","2,658 ",619 ,281 ,0 ,380 ,154 ,79 ,147 ,0 ,103 ,40 ,1,62 ,0 ,"1,525,879 ","1,236,489 ","151,984 ","137,406 ",0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr．,"2,689 ","1,478 ",546 ,665 ,0 ,"121,420 ","95,484 ","20,938 ","4,998 ",0 ,"95,891 ","73,311 ","18,523 ","4,057 ",0 ,"21,868 ","19,295 ","1,919 ",654 ,0 ,"2,931 ","2,484 ",317 ,130 ,0 ,730 ,394 ,179 ,157 ,0 ,"7,308 ","6,145 ",596 ,567 ,0 ,"4,467 ","3,880 ",315 ,272 ,0 ,"2,841 ","2,265 ",281 ,295 ,0 ,"38,807 ","34,421 ","3,178 ","1,208 ",0 ,"34,060 ","30,598 ","2,635 ",827 ,0 ,"4,545 ","3,748 ",497 ,300 ,0 ,202 ,75 ,46 ,81 ,0 ,80 ,64 ,4,12 ,0 ,"1,764,691 ","1,528,848 ","139,608 ","96,235 ",0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May．,"2,567 ",996 ,617 ,954 ,0 ,"116,842 ","88,514 ","21,913 ","6,415 ",0 ,"92,184 ","67,739 ","19,278 ","5,167 ",0 ,"20,708 ","17,743 ","2,069 ",896 ,0 ,"3,229 ","2,668 ",406 ,155 ,0 ,721 ,364 ,160 ,197 ,0 ,"5,424 ","4,057 ",773 ,594 ,0 ,"2,804 ","2,072 ",445 ,287 ,0 ,"2,620 ","1,985 ",328 ,307 ,0 ,"29,241 ","24,137 ","3,665 ","1,439 ",0 ,"24,827 ","20,939 ","2,928 ",960 ,0 ,"4,022 ","3,093 ",661 ,268 ,0 ,392 ,105 ,76 ,211 ,0 ,63 ,40 ,3,20 ,0 ,"1,641,734 ","1,411,626 ","142,464 ","87,644 ",0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun．,"2,093 ",811 ,557 ,725 ,0 ,"122,846 ","97,457 ","21,017 ","4,372 ",0 ,"102,103 ","79,723 ","18,753 ","3,627 ",0 ,"16,725 ","14,520 ","1,702 ",503 ,0 ,"3,356 ","2,800 ",422 ,134 ,0 ,662 ,414 ,140 ,108 ,0 ,"4,353 ","3,340 ",586 ,427 ,0 ,"2,152 ","1,651 ",324 ,177 ,0 ,"2,201 ","1,689 ",262 ,250 ,0 ,"26,891 ","22,616 ","3,274 ","1,001 ",0 ,"22,695 ","19,287 ","2,677 ",731 ,0 ,"3,820 ","3,107 ",545 ,168 ,0 ,376 ,222 ,52 ,102 ,0 ,54 ,39 ,2,13 ,0 ,"1,602,198 ","1,398,845 ","138,697 ","64,656 ",0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul．,"3,222 ","2,018 ",456 ,748 ,0 ,"123,765 ","100,157 ","17,667 ","5,941 ",0 ,"98,201 ","77,537 ","15,728 ","4,936 ",0 ,"19,767 ","17,663 ","1,432 ",672 ,0 ,"4,790 ","4,312 ",346 ,132 ,0 ,"1,007 ",645 ,161 ,201 ,0 ,"6,684 ","5,627 ",527 ,530 ,0 ,"3,697 ","3,118 ",302 ,277 ,0 ,"2,987 ","2,509 ",225 ,253 ,0 ,"30,061 ","25,716 ","3,115 ","1,230 ",0 ,"25,396 ","21,991 ","2,501 ",904 ,0 ,"4,344 ","3,564 ",531 ,249 ,0 ,321 ,161 ,83 ,77 ,0 ,73 ,52 ,4,17 ,0 ,"1,918,356 ","1,712,803 ","131,296 ","74,257 ",0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug．,"3,328 ","1,310 ",487 ,"1,531 ",0 ,"98,376 ","70,074 ","16,893 ","11,409 ",0 ,"76,926 ","52,375 ","15,199 ","9,352 ",0 ,"17,758 ","14,950 ","1,249 ","1,559 ",0 ,"2,826 ","2,275 ",314 ,237 ,0 ,866 ,474 ,131 ,261 ,0 ,"4,511 ","3,144 ",574 ,793 ,0 ,"2,072 ","1,395 ",312 ,365 ,0 ,"2,439 ","1,749 ",262 ,428 ,0 ,"21,880 ","16,940 ","2,970 ","1,970 ",0 ,"17,878 ","14,048 ","2,417 ","1,413 ",0 ,"3,740 ","2,792 ",492 ,456 ,0 ,262 ,100 ,61 ,101 ,0 ,71 ,48 ,4,19 ,0 ,"1,817,023 ","1,584,484 ","114,132 ","118,407 ",0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep．,"3,046 ","1,059 ",577 ,"1,410 ",0 ,"97,967 ","70,175 ","20,311 ","7,481 ",0 ,"76,279 ","52,280 ","18,007 ","5,992 ",0 ,"17,703 ","14,937 ","1,706 ","1,060 ",0 ,"3,139 ","2,518 ",374 ,247 ,0 ,846 ,440 ,224 ,182 ,0 ,"5,734 ","4,273 ",629 ,832 ,0 ,"2,795 ","2,024 ",341 ,430 ,0 ,"2,939 ","2,249 ",288 ,402 ,0 ,"40,356 ","35,154 ","3,703 ","1,499 ",0 ,"34,712 ","30,618 ","3,013 ","1,081 ",0 ,"5,299 ","4,422 ",618 ,259 ,0 ,345 ,114 ,72 ,159 ,0 ,65 ,42 ,3,20 ,0 ,"1,612,208 ","1,346,488 ","134,254 ","131,466 ",0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oct．,"3,346 ","1,426 ",845 ,"1,075 ",0 ,"122,333 ","90,947 ","26,501 ","4,885 ",0 ,"96,208 ","68,824 ","23,423 ","3,961 ",0 ,"21,902 ","18,934 ","2,330 ",638 ,0 ,"3,319 ","2,681 ",522 ,116 ,0 ,904 ,508 ,226 ,170 ,0 ,"6,517 ","5,083 ",827 ,607 ,0 ,"3,332 ","2,583 ",444 ,305 ,0 ,"3,185 ","2,500 ",383 ,302 ,0 ,"34,113 ","28,529 ","4,245 ","1,339 ",0 ,"29,621 ","25,197 ","3,489 ",935 ,0 ,"4,137 ","3,200 ",685 ,252 ,0 ,355 ,132 ,71 ,152 ,0 ,64 ,36 ,5,23 ,0 ,"1,829,265 ","1,564,772 ","166,456 ","98,037 ",0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nov．,"2,681 ","1,175 ",765 ,741 ,0 ,"113,534 ","82,810 ","25,543 ","5,181 ",0 ,"88,707 ","62,363 ","22,103 ","4,241 ",0 ,"20,797 ","17,463 ","2,640 ",694 ,0 ,"3,115 ","2,397 ",579 ,139 ,0 ,915 ,587 ,221 ,107 ,0 ,"5,442 ","3,825 ","1,002 ",615 ,0 ,"2,485 ","1,786 ",482 ,217 ,0 ,"2,957 ","2,039 ",520 ,398 ,0 ,"33,328 ","27,283 ","4,419 ","1,626 ",0 ,"29,463 ","24,611 ","3,623 ","1,229 ",0 ,"3,542 ","2,578 ",709 ,255 ,0 ,323 ,94 ,87 ,142 ,0 ,82 ,46 ,3,33 ,0 ,"1,647,550 ","1,399,516 ","173,986 ","74,048 ",0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dec．,"2,126 ","1,223 ",357 ,546 ,0 ,"115,641 ","95,666 ","15,232 ","4,743 ",0 ,"89,912 ","72,248 ","13,754 ","3,910 ",0 ,"21,970 ","20,186 ","1,161 ",623 ,0 ,"3,170 ","2,812 ",224 ,134 ,0 ,589 ,420 ,93 ,76 ,0 ,"14,868 ","14,167 ",303 ,398 ,0 ,"2,778 ","2,435 ",161 ,182 ,0 ,"12,090 ","11,732 ",142 ,216 ,0 ,"54,616 ","50,997 ","2,228 ","1,391 ",0 ,"49,359 ","46,423 ","1,875 ","1,061 ",0 ,"4,989 ","4,422 ",306 ,261 ,0 ,268 ,152 ,47 ,69 ,0 ,79 ,56 ,3,20 ,0 ,"1,773,130 ","1,599,537 ","111,276 ","62,317 ",0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016　Jan．,"2,445 ",779 ,487 ,"1,179 ",,"96,754 ","65,827 ","19,143 ","11,784 ",,"75,909 ","49,255 ","17,066 ","9,588 ",,"17,681 ","14,545 ","1,544 ","1,592 ",,"2,288 ","1,656 ",346 ,286 ,,876 ,371 ,187 ,318 ,,"4,923 ","3,485 ",544 ,894 ,,"2,316 ","1,529 ",347 ,440 ,,"2,607 ","1,956 ",197 ,454 ,,"61,443 ","56,708 ","2,596 ","2,139 ",,"56,075 ","52,375 ","2,109 ","1,591 ",,"5,049 ","4,194 ",402 ,453 ,,319 ,139 ,85 ,95 ,,83 ,24 ,5,54 ,,"1,851,895 ","1,579,364 ","133,950 ","138,581 ",0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb．,"2,059 ",697 ,575 ,787 ,,"87,710 ","63,535 ","19,922 ","4,253 ",,"67,616 ","46,357 ","17,728 ","3,531 ",,"17,492 ","15,234 ","1,727 ",531 ,,"2,060 ","1,637 ",304 ,119 ,,542 ,307 ,163 ,72 ,,"4,270 ","3,249 ",561 ,460 ,,"1,577 ","1,017 ",321 ,239 ,,"2,693 ","2,232 ",240 ,221 ,,"39,982 ","35,589 ","3,387 ","1,006 ",,"35,858 ","32,245 ","2,855 ",758 ,,"3,885 ","3,249 ",471 ,165 ,,239 ,95 ,61 ,83 ,,99 ,66 ,5,28 ,,"1,891,375 ","1,670,948 ","127,568 ","92,859 ",0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar．,"2,623 ","1,083 ",594 ,946 ,,"148,206 ","120,016 ","21,064 ","7,126 ",,"116,207 ","91,936 ","18,480 ","5,791 ",,"26,622 ","23,894 ","1,862 ",866 ,,"4,449 ","3,627 ",556 ,266 ,,928 ,559 ,166 ,203 ,,"6,423 ","4,928 ",814 ,681 ,,"2,988 ","2,139 ",486 ,363 ,,"3,435 ","2,789 ",328 ,318 ,,"46,243 ","41,259 ","3,447 ","1,537 ",,"41,763 ","37,793 ","2,831 ","1,139 ",,"4,195 ","3,354 ",528 ,313 ,,285 ,112 ,88 ,85 ,,91 ,42 ,1,48 ,,"2,009,550 ","1,726,361 ","147,854 ","135,335 ",0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr．,"2,566 ","1,140 ",663 ,763 ,,"141,493 ","114,354 ","21,357 ","5,782 ",,"114,153 ","90,501 ","18,941 ","4,711 ",,"23,079 ","20,522 ","1,837 ",720 ,,"3,182 ","2,710 ",341 ,131 ,,"1,079 ",621 ,238 ,220 ,,"7,816 ","6,273 ",960 ,583 ,,"3,953 ","3,027 ",650 ,276 ,,"3,863 ","3,246 ",310 ,307 ,,"45,164 ","40,360 ","3,459 ","1,345 ",,"39,658 ","35,802 ","2,848 ","1,008 ",,"5,233 ","4,449 ",527 ,257 ,,273 ,109 ,84 ,80 ,,108 ,66 ,11,31 ,,"2,081,697 ","1,825,694 ","147,048 ","108,955 ",0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May．,"3,125 ","1,078 ",939 ,"1,108 ",,"140,361 ","112,051 ","20,749 ","7,561 ",,"111,980 ","87,703 ","18,209 ","6,068 ",,"24,092 ","21,085 ","1,959 ","1,048 ",,"3,408 ","2,811 ",417 ,180 ,,881 ,452 ,164 ,265 ,,"6,437 ","4,862 ",958 ,617 ,,"2,873 ","2,016 ",553 ,304 ,,"3,564 ","2,846 ",405 ,313 ,,"34,181 ","28,682 ","3,967 ","1,532 ",,"29,811 ","25,485 ","3,194 ","1,132 ",,"4,102 ","3,114 ",692 ,296 ,,268 ,83 ,81 ,104 ,,106 ,59 ,5,42 ,,"1,893,574 ","1,640,187 ","146,495 ","106,892 ",0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun．,"2,685 ","1,000 ",718 ,967 ,,"149,214 ","123,518 ","21,007 ","4,689 ",,"125,353 ","102,938 ","18,610 ","3,805 ",,"18,915 ","16,538 ","1,759 ",618 ,,"3,961 ","3,442 ",407 ,112 ,,985 ,600 ,231 ,154 ,,"5,816 ","4,482 ",903 ,431 ,,"2,774 ","2,102 ",480 ,192 ,,"3,042 ","2,380 ",423 ,239 ,,"34,846 ","30,335 ","3,472 ","1,039 ",,"30,192 ","26,593 ","2,843 ",756 ,,"4,253 ","3,495 ",577 ,181 ,,401 ,247 ,52 ,102 ,,86 ,42 ,3,41 ,,"1,985,722 ","1,773,111 ","140,222 ","72,389 ",0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul．,"3,220 ","1,307 ",874 ,"1,039 ",,"146,151 ","121,642 ","17,888 ","6,621 ",,"117,636 ","96,480 ","15,762 ","5,394 ",,"22,928 ","20,508 ","1,508 ",912 ,,"4,670 ","4,125 ",402 ,143 ,,917 ,529 ,216 ,172 ,,"6,268 ","4,849 ",940 ,479 ,,"3,204 ","2,512 ",452 ,240 ,,"3,064 ","2,337 ",488 ,239 ,,"34,818 ","29,956 ","3,393 ","1,469 ",,"29,133 ","25,410 ","2,685 ","1,038 ",,"5,202 ","4,317 ",561 ,324 ,,483 ,229 ,147 ,107 ,,89 ,53 ,2,34 ,,"2,296,451 ","2,069,994 ","138,137 ","88,320 ",0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug．,"3,104 ","1,199 ",567 ,"1,338 ",,"114,671 ","88,391 ","14,948 ","11,332 ",,"88,783 ","66,182 ","13,289 ","9,312 ",,"21,890 ","19,177 ","1,202 ","1,511 ",,"3,064 ","2,521 ",311 ,232 ,,934 ,511 ,146 ,277 ,,"4,621 ","3,249 ",614 ,758 ,,"1,987 ","1,334 ",270 ,383 ,,"2,634 ","1,915 ",344 ,375 ,,"23,332 ","18,623 ","2,661 ","2,048 ",,"19,392 ","15,758 ","2,159 ","1,475 ",,"3,616 ","2,774 ",442 ,400 ,,324 ,91 ,60 ,173 ,,82 ,43 ,2,37 ,,"2,049,234 ","1,802,381 ","112,560 ","134,293 ",0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
